X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
129.75,7.2,101.15,94.84,96.55,91.13,91.54,92.85,92.82,93.64,94.02,96.34,96.7
131.25,7.2,112.63,104.2,107.1,99.98,101.25,101.27,100.8,101.51,107.28,106.68,103.94
132.75,7.2,121.88,115.76,118.61,112.19,115.05,113.41,110.16,112.95,123.3,118.5,113.82
134.25,7.2,128.67,124.54,129.43,125.73,129.79,126.4,121.09,123.85,139.43,128.13,122.54
135.75,7.2,128.39,128.23,132.17,133.51,137.84,133.92,126.54,129.38,147.05,131.89,127.34
137.25,7.2,117.33,119.82,121.73,127.04,129.83,125.99,119.21,121.34,136.84,122.03,120.94
138.75,7.2,109.52,112.9,112.42,119.82,121.22,117.75,112.71,114.01,124.94,113.25,115.21
140.25,7.2,111.9,114.82,111.62,120.78,120.2,117.49,114.05,115.01,119.89,112.58,116.78
141.75,7.2,116.24,119.93,113.7,125.05,122.12,120.92,117.93,119.63,117.81,114.72,121.26
143.25,7.2,115.39,119.85,113.16,125.7,121,121.65,118.16,120.64,114.2,113.2,121.83
144.75,7.2,111.16,114.2,109.65,120.74,115.57,117.79,113.94,116.04,108.83,108.21,116.67
146.25,7.2,103.89,108.18,104.98,111.58,107.14,110.07,105.38,107.79,102.37,102.95,108.05
147.75,7.2,99.45,102.14,100.29,101.78,98.31,101.1,99.09,98.01,94.89,97.69,98.72
149.25,7.2,99.46,100.83,98.36,97.41,94.81,97.09,97.64,95.42,92.35,98.04,96.64
150.75,7.2,104.39,104.07,102.14,100.57,98.37,99.92,102.14,100.2,97.08,103.55,101.63
152.25,7.2,114.88,111.25,110.52,110.39,108.91,110.3,114.14,111.74,108.43,112.76,112.78
153.75,7.2,131.95,125.92,125.46,128.75,127.92,129.22,134.21,132.64,127.9,129.01,132.41
155.25,7.2,154.36,149.05,150.93,155.98,157.1,157.43,160.79,162.28,157.26,153.41,159.01
156.75,7.2,175.36,172.83,179.17,181.32,184.22,184.54,184.1,187.49,183.64,176.43,180.63
158.25,7.2,187.22,183.7,191.07,189.14,190.82,192.28,195.03,192.76,188.03,183.75,185.36
159.75,7.2,188.05,186.63,190.49,185.48,184.7,186.75,192.39,187.38,178.12,182.79,181.45
161.25,7.2,174.21,176.04,178.94,174.62,171.97,173.81,176.63,174.15,162.9,171.41,170.25
162.75,7.2,141.67,140.53,145.5,147.16,143.48,144.38,140.41,140.03,132.92,139.15,138.31
18.75,8.6,155.05,245.45,223.86,382.49,310.28,301.69,203.7,254.4,296.2,236.74,310.09
20.25,8.6,240.76,301.19,337.32,521.56,452.98,428.27,332.49,389.45,427.71,331.43,400.94
21.75,8.6,321.44,358.16,400.71,627.57,542.01,521.24,395.31,432.49,509.39,397.12,467.26
23.25,8.6,392.31,403.49,428.05,665.9,544.68,556.83,405.54,420.25,543.79,438.46,485.7
24.75,8.6,413.47,403.26,399.73,613.41,454.73,518.84,369.1,377.37,525.31,444.92,444.4
26.25,8.6,376.13,351.29,318.98,497.74,323.22,432.33,305.73,316.74,461.67,406.99,359.66
27.75,8.6,298.15,267.86,225.42,372.85,218.08,335.63,249.97,264.78,367.16,321.87,271.69
29.25,8.6,215.86,191.4,154.63,263.29,151.75,245.02,206.13,219.11,261.82,232.48,193.6
30.75,8.6,156.78,154.6,109.48,182.02,110.57,172.49,165.89,171.26,177.65,166.84,131.71
32.25,8.6,131.4,147.06,84.79,127.81,89.82,122.15,127.05,124.75,123.05,123.6,88.29
33.75,8.6,129.64,157.59,71.23,94.22,79.32,90.91,102.53,98.24,92.26,101.99,69.01
35.25,8.6,143.49,168.23,66.94,83.17,70.33,81.07,88.93,83.24,70.36,102,77.93
36.75,8.6,162.96,184.42,76.26,95.34,67.87,96.47,86.07,84.34,56.14,113.97,94.37
38.25,8.6,172.13,200.61,90.88,107.99,76.45,110.73,95.23,95.96,49.28,129.6,116.97
39.75,8.6,162.38,229.76,116.96,120.25,92.07,127.76,124.92,119.52,48.22,148.52,147.29
41.25,8.6,179.07,269.11,149.82,138.95,125.79,149.27,204.82,153.39,61.49,190.7,184.93
