X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9
108.75,0.38,106.58,115.81,105.4,115.51,116.96,99.24,91.14,97.46,92.75
110.25,0.38,72.74,70.28,71.11,67.4,72.02,74.93,77.09,77.18,73.01
111.75,0.38,55.9,53.76,54.91,51.23,61.9,61.89,65.62,64.48,60.25
113.25,0.38,250.23,244.43,251.4,214.39,324.28,301.12,309.99,328.78,310.07
114.75,0.38,1327.7,1246.7,1306.3,1214.6,1110.1,1068.9,823.96,888.02,834.81
116.25,0.38,497.47,493.44,501.49,485.43,446.95,447.72,406.17,399.6,395.07
117.75,0.38,322.01,319.71,320.75,336.13,315.95,317.14,299.3,294.96,291.62
119.25,0.38,239.57,237.2,237.46,253.62,241.89,237.03,206.84,208.53,187.45
120.75,0.38,79.07,78.57,78.33,83.24,80.63,77.87,70.83,72,70.93
122.25,0.38,231.83,232.37,228.28,239.74,231.23,230.85,215.82,213.75,200.07
123.75,0.38,89.13,89.72,88.36,89.24,89.1,88.92,85.44,84.92,85.44
125.25,0.38,50.06,50.27,50.29,49.91,51.12,50.61,50.36,50.6,52.03
126.75,0.38,131.1,132.49,130.08,131.22,123.28,125.62,125.52,124.9,130.79
128.25,0.38,431.05,433.22,423.34,424.19,338.89,349.7,350.03,347.11,329.81
129.75,0.38,213.71,212.48,210.42,210.75,173.79,178.22,176.13,175.23,177.17
131.25,0.38,197.1,193.85,192.93,198.85,145.08,149.57,149.82,148.56,155.46
132.75,0.38,224.8,218.23,216.57,227.33,181.37,191.42,194.21,190.9,197.96
134.25,0.38,25.01,24.48,24.52,25.62,25.43,25.31,24.82,24.94,25.32
135.75,0.38,40.59,40.45,40.52,40.96,42.41,40.42,39.68,40.75,39.62
137.25,0.38,35.82,36.38,36.22,36.26,38.47,37.8,37.63,37.71,38.42
138.75,0.38,244.73,244.03,241.49,240.38,246.34,264.37,275.19,261.19,286.78
140.25,0.38,317.32,311.31,312.01,315.76,285.83,294.98,301.28,290.26,296.27
141.75,0.38,300.58,293.63,296.73,302.69,270.19,276.08,273.94,269.71,279.7
143.25,0.38,288.36,280.06,284.96,294.96,283.79,285.55,279.19,276.27,280.64
144.75,0.38,360.28,352.78,360.05,372.19,357.51,341.64,332.11,342.46,329.07
146.25,0.38,1291.5,1329.6,1306.1,1281.8,1232.6,1196.7,1197.3,1184.7,1167.7
147.75,0.38,1248.4,1277.6,1294.4,1277.4,1314.9,1223.8,1205.7,1222.6,1151.8
149.25,0.38,782.7,780.36,803,797.37,767.69,732.46,709.43,708.58,650.52
150.75,0.38,433.28,433.63,440.65,433.92,425.67,408.42,397.67,395.05,365.42
152.25,0.38,264.62,267.44,270.51,262.55,255.02,248.21,245.13,243.25,244.94
153.75,0.38,552.95,569.3,572.58,541.62,574.09,550.71,541.76,550.22,528.04
155.25,0.38,1816.1,1890,1876.7,1784,1919.7,1875.3,1864.2,1881.2,1861.5
156.75,0.38,905.15,934.54,922.19,868.8,988.83,962.42,987.64,989.93,982.51
158.25,0.38,443.57,438.71,434.69,443.19,435.31,420.14,421.32,432.29,407.72
159.75,0.38,309.22,305.94,303.65,316.39,313.48,310.42,301.66,301,282.57
161.25,0.38,125.86,125.03,124.1,133.03,118.77,120.99,114.05,113.52,109.36
162.75,0.38,175.93,174.22,171.15,180.64,163.8,163.93,159.84,158.68,153.4
164.25,0.38,241.79,237.23,235.55,249.49,220.57,232.09,219.2,219.49,207.97
165.75,0.38,222.59,222.05,220.68,226.35,210.76,218.6,210.04,206.91,203.05
167.25,0.38,276.85,282.78,279.77,270.01,260.32,261.6,262.25,248.44,225.06
168.75,0.38,565.92,587.41,582.65,544.33,530.59,503.72,512.59,486.58,470.62
170.25,0.38,422.96,459.71,459.49,406.52,444.1,401.1,428.39,399.36,388
171.75,0.38,490.13,506.61,509.45,465.98,533.8,471.5,491.04,479.04,420.91
173.25,0.38,346.72,343.66,342.55,336.31,338.43,327.42,328.55,325.17,271.27
174.75,0.38,370.38,358.71,354.88,387.86,329.99,366.64,336.12,318.84,259
176.25,0.38,441.5,432.72,428.17,491.37,388.29,451.94,391.85,365.55,345.01
2.25,1.13,37.08,42.16,41.27,40.17,30.5,30.52,31.9,45.37,28.1
3.75,1.13,26.82,27.71,28.12,41.16,29.21,33.65,31.66,35.11,35.14
5.25,1.13,10.9,12.79,12.69,15.67,12.55,14.12,12.61,14.01,18.11
6.75,1.13,3.61,3.62,3.54,7.73,10.65,9.26,8.59,11.43,9.73
8.25,1.13,24.63,24.81,26.36,14.07,14.22,13.87,17.94,17.97,20.89
9.75,1.13,22.48,21.94,23.47,46.7,21.59,22.45,26.09,29.96,31.1
11.25,1.13,27.53,31.21,31.34,51.73,25.05,38.41,39.33,32.85,38.31
12.75,1.13,10.08,11.98,10.07,8.53,41.04,34.78,17.02,19.42,12.47
14.25,1.13,40.24,51.46,47.21,145.77,39.29,172.82,54.41,81.72,137.42
15.75,1.13,10.5,9.41,12,16.82,105.15,92.45,79.93,75.76,67.82
17.25,1.13,37.08,26.24,42.1,41.85,5.9,13.61,81.67,44.05,7.83
18.75,1.13,134.89,172.28,151.89,246.51,421.55,205.7,248.49,184.19,409.74
20.25,1.13,379.94,467.45,1059.7,443.01,1008.6,609.87,233.58,337.33,617.27
21.75,1.13,526,641.63,1090.6,1302.2,251.85,769.43,1192,173.42,170.24
23.25,1.13,646.28,349.23,169.74,183.08,896.92,482.27,537.89,582.06,839.36
24.75,1.13,1022.4,1067,677.94,1275.1,1974.1,825.14,1293.5,2870.4,1695.6
26.25,1.13,220.27,425.68,402.09,1315.4,2009.7,801.32,780.35,1633.8,1155.7
27.75,1.13,317.11,543.64,357.77,1435.5,862.9,493.92,486.31,400.51,858.14
29.25,1.13,1410.2,549.54,1144.4,378.01,554.1,836.1,895.88,763.4,378.6
30.75,1.13,930.33,2012,1556.2,1268.4,453.97,893.2,1001.8,411.52,263.44
32.25,1.13,144.13,178.29,202.51,281.11,628.26,411.29,285.46,325.57,501.17
33.75,1.13,106.62,255.23,156.07,305.3,560.24,442.41,527.23,588.27,684.92
35.25,1.13,462.14,780.81,489.2,699.89,678.64,743,685.19,631.26,663.28
36.75,1.13,118.51,87.49,156.76,265.07,239.87,122.81,263.62,217.98,220.27
38.25,1.13,884.73,957.56,533.09,485.07,321.62,680.98,294.77,300.53,276.27
39.75,1.13,318.53,295.53,418.02,373.1,269.31,212.56,251.69,285.9,262.95
