X,Depth,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119
126.75,11.82,112.74,57.96,48.17,68.45,55.73,49.27,51.62,58.06,55.34,61.19
128.25,11.82,101.86,55.78,47.15,65.91,54.24,48.09,49.92,56.16,53.94,58.34
129.75,11.82,95.63,57.2,49.31,64.52,55.97,49.87,51.25,57.35,55.59,58.98
131.25,11.82,91.35,60.66,53.39,63.11,59.52,53.23,54.32,60.38,58.72,61.59
132.75,11.82,87.82,64.76,58.45,61.61,63.65,57.22,58.06,63.63,62.33,64.69
134.25,11.82,83.96,67.79,62.86,59.92,66.81,60.47,61.15,65.26,65.2,66.82
135.75,11.82,79.59,68.53,65.16,58.42,67.95,62.01,62.57,64.82,66.17,67.4
137.25,11.82,74.96,66.92,64.56,57.15,66.86,61.27,61.9,62.73,64.42,65.95
138.75,11.82,70.46,63.29,61.7,56.29,63.68,58.89,59.21,59.54,61.13,62.95
140.25,11.82,66.54,58.93,57.73,56.02,59.64,55.72,55.64,56.32,57.53,59.46
141.75,11.82,63.4,55.23,54.2,56.36,55.97,52.75,52.48,53.78,54.56,56.72
143.25,11.82,60.59,53.07,52.23,57.08,53.52,50.79,50.65,52.41,52.94,55.3
144.75,11.82,57.73,52.57,52.08,57.98,52.63,50.24,50.3,52.59,52.79,55.26
146.25,11.82,55.13,53.71,53.65,59.29,53.48,51.28,51.56,54.25,54.02,56.52
147.75,11.82,53.45,55.94,56.41,61.01,55.52,53.37,53.78,57.06,56.16,58.56
149.25,11.82,54.28,59.61,60.68,64.19,59.15,57.23,57.47,61.17,59.8,61.95
150.75,11.82,57.89,66.62,68.4,70.46,66.24,64.55,64.33,68.59,66.77,68.65
152.25,11.82,65.82,81.69,85.1,83.46,81.5,80.15,78.9,84.3,81.95,83.36
30.75,13.68,52.97,169.79,236.77,237.81,196.29,201.17,248.32,192.9,206.19,231.15
32.25,13.68,70.17,153.05,176.59,179.28,160.17,184.62,191.94,163.57,179.8,196.84
33.75,13.68,80.51,140.34,144.73,149.34,140.04,169.5,160,145.66,161.47,167.7
35.25,13.68,88.18,132.54,127.4,130.4,128.14,159.27,140.79,139.3,147.21,143.18
36.75,13.68,97.29,130.71,125.48,115.71,121.95,158.11,132.59,145,141.05,123.04
38.25,13.68,110.31,134.2,136.6,104.61,123,161.91,132.05,163.9,145.21,110.82
39.75,13.68,126.45,144.52,161.55,101.41,132.43,173.1,136.71,196.58,159.87,112.15
41.25,13.68,145.45,163.19,203.43,105.59,150.22,184.63,142.21,242.27,185.13,127.24
42.75,13.68,166.66,191.93,259.88,118.45,177.94,196.38,151.34,288.3,213.25,152.15
44.25,13.68,189.46,230.03,313.16,142.71,213.42,216.44,165.81,331.9,230.05,182.96
45.75,13.68,212.25,278.64,353.2,174.11,254.57,250.03,189.9,366.31,230.72,219
