X,Depth,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119
71.25,0.38,52.22,64.43,63.65,57.51,63.53,62.81,66.43,57.04,63.87,62.03
72.75,0.38,69.81,98.43,97.23,80.68,96.65,98.84,100.09,84.47,95.3,92.52
74.25,0.38,74.44,100.15,99.87,84.96,99.08,102.26,100.52,93.46,97.97,95.18
75.75,0.38,122.43,150.06,152.83,146.27,151.93,154.64,152.85,155.23,152.8,146.98
77.25,0.38,193.78,188.46,191.42,215.42,191.19,188.26,193.13,203.27,193.41,192.22
78.75,0.38,207.5,186.63,185.43,219.76,186.79,182.43,186.71,192.82,186.22,191.07
80.25,0.38,188.09,166.67,163.67,183.59,166.09,164.13,164.3,165.26,164.51,172.2
81.75,0.38,101.09,90.87,89.49,94.55,90.54,90.47,90.19,90.55,90.42,92.93
83.25,0.38,79.35,72.58,72.18,74.32,72.05,72.55,71.64,73.46,72.08,73.35
84.75,0.38,154.44,149.72,149.94,151.29,149.03,149.15,147.65,150.22,149,153.06
86.25,0.38,152.88,148.62,147.82,146.82,148.45,146.53,148.91,146.54,147.84,148.9
87.75,0.38,204.72,192.66,190.95,194.59,192.55,187.32,192.39,188.55,190.63,190.59
89.25,0.38,338.57,314.26,312.52,314.43,313.34,306.71,312.43,315.3,311.39,314.74
90.75,0.38,531.69,510.68,514.41,494.39,509.3,517.8,510.21,521.17,511.53,528.39
92.25,0.38,722,723.88,734.43,710.61,735.52,755.96,743.27,753.65,750.17,774.38
93.75,0.38,376.5,386.83,392.86,387.34,393.53,403.39,396.17,395.68,396.49,411.08
95.25,0.38,435.05,451.31,456.41,451.92,455.31,464.68,459,459.71,460.07,471.93
96.75,0.38,1521.4,1628.6,1655.8,1654.2,1650.1,1677.5,1667.6,1685.9,1678,1710.9
98.25,0.38,885.51,957.69,972.91,969.29,972.75,971.33,984.03,995.17,995.03,994.25
99.75,0.38,827.56,894.6,907.22,895.42,908.53,898.25,914.37,928.41,929.53,938.76
101.25,0.38,754.42,803.4,808.66,794.65,813.18,803.42,815.46,822.09,824.89,839.49
102.75,0.38,342.65,362.78,363.13,358.26,364.52,360.57,366.52,366.5,367.72,373.02
104.25,0.38,241.02,253.85,253.95,256.56,256.99,253.34,259.7,253.15,259.87,259.04
105.75,0.38,188.01,194.61,194.02,196,197.98,195.15,199.54,192.24,199.77,197.97
107.25,0.38,171.67,144.65,149.58,161.93,148.69,146.99,150.79,147.79,152.1,148.82
108.75,0.38,128.5,104.44,107.15,117.28,105.29,106.75,106.68,105.31,106.47,104.97
110.25,0.38,63.15,67.13,64.79,62.2,65.96,67.48,65.59,63.22,64.66,66.33
111.75,0.38,54.62,55.04,53.07,53.25,54.73,54.56,54.25,52.22,53.52,54.21
113.25,0.38,305.27,277.75,262.63,292.3,279.96,263.15,262.52,262.61,261.67,261.91
114.75,0.38,971.06,969.28,957.91,1039.2,972.95,931.19,943.17,947.34,941.31,914.78
116.25,0.38,407.28,415.94,420.93,428.75,419.66,414.1,420.22,426.49,424.02,416.63
117.75,0.38,279.93,291.45,292.73,288.51,290.52,296.05,298.1,291.93,298.01,300.41
119.25,0.38,202.21,205.44,203.63,204.62,204.68,208.01,209.36,201.6,208.04,212.55
120.75,0.38,77.12,77.84,76.49,77.47,77.73,78.56,78.79,76.02,78.24,79.63
122.25,0.38,199.81,202.47,200.7,198.73,202.96,205.33,204.76,197.95,202.78,206.42
123.75,0.38,83.5,83.59,83.49,82.46,83.87,83.65,83.5,82.83,83.35,83.14
125.25,0.38,56.16,52.85,53.25,53.96,53.05,52.73,53.16,53.34,53.16,52.27
126.75,0.38,122.34,121.99,123.18,121.34,122.78,124.21,124.27,122.06,123.51,122.8
128.25,0.38,356.22,391.28,392.15,368.97,388.75,398.7,388.43,382.06,386.03,388.79
129.75,0.38,172.3,192.84,193.58,184.38,192.85,195.37,192.77,191.98,192.78,193.47
131.25,0.38,155.72,177.15,180.66,169.09,178.4,181.12,177.71,176.98,179.29,179.95
132.75,0.38,174.42,198.19,204.46,185.28,199.07,204,200.04,197.04,202.01,200.2
134.25,0.38,27.18,27.13,27.31,27.07,27.13,27.03,26.89,26.49,26.92,26.77
135.75,0.38,45.41,41.16,40.58,42.96,41.41,40.87,41.36,41.1,41.34,41.34
137.25,0.38,42.37,39.46,39.28,40.04,39.14,39.49,39.39,39.51,39.32,39.27
138.75,0.38,258.28,287.91,290.32,270.58,283.57,288.7,283.71,280.64,281.6,279.12
140.25,0.38,249.86,280.7,283.89,268.49,280.92,283.71,282.75,276.92,279.88,279.62
141.75,0.38,234.16,252.88,254.43,245.84,251.8,252.08,251.88,248.52,250.93,249.94
143.25,0.38,231.69,245.34,248.27,242.01,243.88,241.17,241.01,239.17,242.17,239.52
144.75,0.38,300.08,312.46,313.69,310.85,308.7,303,303.02,303.59,307.84,305.22
146.25,0.38,1161.9,1159.5,1149.1,1163.3,1141.7,1123.7,1122.9,1126.7,1126.6,1137.6
147.75,0.38,1288.6,1225.8,1214.3,1273.1,1215.2,1194,1205.1,1235.9,1218,1238.5
149.25,0.38,698.33,669.09,666.63,691.1,675.47,670.27,678.41,696.05,685.25,690.73
150.75,0.38,367.77,357.62,356.1,365.35,359.86,358.65,360.95,369.03,363.66,368.5
152.25,0.38,259.44,250.03,246.89,252.9,249.09,249.96,249.39,256.36,250.83,252.65
153.75,0.38,532.78,495.64,482.8,506.26,487.97,490.3,488.24,509.45,491.04,499.73
155.25,0.38,1930.7,1860.1,1819,1874,1836.9,1840.6,1829.6,1910.9,1842,1865
156.75,0.38,1077.5,994.2,973.19,999.05,988.63,995.71,992.59,1011.5,980.82,1001.9
158.25,0.38,498.22,460.54,458.08,466.16,460.12,460.3,466.51,452.9,459.73,471.35
159.75,0.38,330.09,320.36,320.78,323.18,322.14,321.84,324.95,316.24,322.67,326.9
161.25,0.38,116.95,120.15,120.51,117.68,120.76,121.87,122.38,119.47,122.23,124.13
162.75,0.38,167.93,166.22,167.38,168.11,168.3,169.87,171.32,165.55,170.12,171.88
164.25,0.38,217.72,228.62,229.74,223.53,229.5,231.1,233.97,223.34,231.59,234.44
165.75,0.38,213.9,219.2,219.53,214.39,218.48,217.93,222.53,213.91,218.87,220.86
167.25,0.38,255.55,255.86,256.74,250.83,255.52,260.88,261.89,259.92,257.87,262.98
168.75,0.38,511.87,488.94,492.17,493.97,492.82,507.19,499.36,517.63,497.37,508.16
170.25,0.38,412.5,371.12,372.39,390.75,377.1,380.91,376.22,416.88,380.73,385.76
171.75,0.38,479.88,441.93,441.23,465.53,451.88,454.03,445.31,479.27,457.15,460.15
173.25,0.38,296.92,309.75,309.84,306.88,312.98,312.69,311.65,311.57,315.24,318.22
174.75,0.38,261.38,300.28,302.82,282.09,297.48,301.18,306.24,287.5,301.51,308.33
176.25,0.38,360.68,399.08,403.1,379.76,391.27,402.9,410.63,387.51,397.37,407.73
2.25,1.13,56.73,27.62,27.79,28.42,30.84,32.79,32.62,32.43,30.84,26.29
3.75,1.13,28.65,46.71,46.61,43.98,41.39,37.33,37.78,38.12,37.22,44.62
5.25,1.13,19.64,21.26,19.91,22,18.65,17.55,18.46,18.07,19.22,17.75
6.75,1.13,13.57,10.44,9.51,10.94,8.82,8.48,8.37,8.05,9,7.88
8.25,1.13,15.09,23.14,33.02,27.14,28.67,28.58,33.55,31.51,29.63,41.04
9.75,1.13,66.86,73.71,79.8,72.35,57.26,44.38,42.69,44.04,42.08,52.44
11.25,1.13,35.74,32.83,32.89,31,21.05,21.2,19.6,18.82,21.7,19.35
12.75,1.13,4.45,10.21,9.57,8.88,10.87,15.89,23.2,22.75,24.22,12.21
14.25,1.13,169.05,95.81,80.75,143.21,65.72,130.45,66.34,80.26,64.09,109.46
15.75,1.13,76.45,213.46,193.77,169.32,183.54,51.43,54.97,120.38,59.23,140.75
17.25,1.13,3.29,11.27,12.88,11.89,15.5,21.95,43.97,13.69,51.04,19.68
18.75,1.13,325.42,163.8,212.72,181.18,172.21,170.81,142.58,231.16,137.59,103.57
20.25,1.13,302.62,339.03,327.44,299.3,284.2,395.05,290.95,314.62,330.87,404.3
21.75,1.13,575.5,406.29,688.32,495.31,398.17,562.47,512.37,474.08,485.3,510.96
23.25,1.13,756.85,679.69,1257.9,530.5,469.22,603.12,307.36,731.42,558.55,1297.6
24.75,1.13,656.75,778.6,1037,746.61,739.27,921.94,874.24,1099.8,732.1,1449.5
26.25,1.13,194.01,191.44,291.88,187.94,214.9,376.94,382.39,520.61,396.12,1472
27.75,1.13,776.59,777.22,698.04,805.08,802.1,755.92,895.27,729.52,476.97,272.8
29.25,1.13,729.24,813.5,1272.7,908.87,888.67,1303.5,778.7,1071,2859.3,2415.3
30.75,1.13,554.94,504.84,591.65,456.89,384.95,536.89,479.51,652.46,334.6,1180
32.25,1.13,143.1,104.46,127.73,109.63,107.57,93.34,98.91,228.67,89.82,244.54
33.75,1.13,369.53,356.77,381.22,368.72,446.74,499.32,547.29,493.13,553.21,852.58
35.25,1.13,209.31,244.66,302.75,256.54,280.88,333.83,342.16,286.76,361.33,301.71
36.75,1.13,340.81,241.89,254.36,238.79,232.7,263.68,294.54,374.94,323.54,318.44
38.25,1.13,693.75,639.64,582.86,707.87,711.67,623.31,626.94,517.29,643.49,508.5
39.75,1.13,220.37,296.12,314.56,293.19,305.42,291.89,319.2,242.51,369.75,221.77
41.25,1.13,121.56,117.69,117.65,102.85,106.96,131.44,99.32,135.3,85.58,130.3
42.75,1.13,181.22,172.91,190.88,188.14,178.46,171.73,177.82,192.25,190.44,191.19
44.25,1.13,391.4,436.71,425.48,438.59,463.68,457.94,503.26,370.64,505.84,393.36
45.75,1.13,181.61,170.3,136.01,150.87,170.45,141.7,145.75,212.8,125.97,137.01
47.25,1.13,218.88,215.44,207.65,202.74,203.24,224.6,224.66,175,228.42,226.98
48.75,1.13,347.69,341.21,403.17,425.58,381.91,357.49,371.62,409.52,405.97,355.95
50.25,1.13,145.8,178.17,182.13,187.2,185.05,185.97,156.56,195.07,171.75,162.12
51.75,1.13,152.46,177.73,209.62,212.55,206.55,209.17,184.08,200.98,211.83,194.45
53.25,1.13,164.23,156.26,192.19,221.64,186,179.81,165.39,202.95,200.62,161.76
54.75,1.13,199.6,266.9,275.22,283.39,274.01,274.81,253.95,277.98,270.38,260.5
56.25,1.13,239.52,363.76,372.67,337.81,374.34,373.37,351.6,378.56,369.61,339.76
57.75,1.13,180.87,180.99,215.4,217.82,208.79,212.41,199.42,198.36,223.89,185.45
59.25,1.13,405.3,218.19,218.14,275.52,223.44,210.85,208.97,227.71,213.8,227.95
60.75,1.13,286.7,286.93,273.85,242.1,265.03,278.55,244.91,309.42,248.39,302.94
62.25,1.13,28.99,48.02,54.27,37.6,49.1,53.36,50.11,46.77,50.05,48.99
63.75,1.13,286.06,465.54,490.75,279.44,462.36,536.41,410.6,452.32,473.59,467.54
65.25,1.13,89.75,133.04,127.27,89.85,118.03,134.35,118.01,139.62,119.86,135.55
66.75,1.13,89.28,98.24,97.16,74.81,96.15,98.69,88.25,96.33,96.68,98.99
68.25,1.13,53.11,116.64,127.53,79.93,108.92,137.94,102.62,148.11,109.69,119.99
69.75,1.13,319.82,181.62,175.13,180.74,172.01,187.75,163.51,224.58,169.93,207.48
71.25,1.13,241.87,104.62,108.9,157.76,110.08,108.01,108.88,129.65,113.71,112.37
72.75,1.13,99.82,58.04,56.43,69.85,59.51,55.5,61.31,59.98,60,58.46
74.25,1.13,118.21,106.24,99.75,91.54,103,101.49,110.24,93.65,100.53,106.31
75.75,1.13,133.74,144.32,140.89,127.31,143.2,142.25,145.59,139.43,142.11,139.91
77.25,1.13,293.75,293.9,288.57,295.95,291.11,289.02,293.92,292.38,290.16,297.38
78.75,1.13,294.56,323.33,323.54,300.24,322.64,327.42,327.03,312.53,322.29,320.35
80.25,1.13,365.9,412.06,414.84,405.3,422.63,417.73,421.02,398.58,415.51,414.71
81.75,1.13,283.76,336.2,336.21,324.2,344.63,335.38,337.55,322.51,339.63,337.6
83.25,1.13,207.08,235.64,230.94,229.77,237.57,227.92,236.1,216.24,233.97,232.02
84.75,1.13,246.29,243.94,240.07,240.7,243.41,241.7,246.4,237.04,243.43,247.48
86.25,1.13,224.33,222.75,220.72,216.75,221.45,221.86,222.03,220.98,221.21,225.27
87.75,1.13,252.55,255.18,255.39,241.24,254.27,261.3,255.81,263.36,254.88,259
89.25,1.13,251.95,261.27,261.21,255.4,262.28,270.26,263.03,260.12,260.31,270.3
90.75,1.13,190.54,195.4,194.03,193.41,194.05,193.98,194.21,194.55,194.38,195.81
92.25,1.13,410.85,428.98,428.35,421.81,429.17,432.48,431.25,425.11,426.99,438.09
93.75,1.13,437.7,452.87,454.34,447.16,450.65,448.9,451.39,464.73,457.74,454.07
95.25,1.13,817.55,820.15,820.04,849.54,831.61,813.36,830.81,836.49,842.05,832.28
96.75,1.13,606.7,607.25,614.86,616.26,619.96,615.72,621.57,616.33,627.26,621.13
98.25,1.13,575.62,542.96,544.62,556.56,547.73,556.61,548.56,556.26,551.22,556.04
99.75,1.13,588.73,554.59,551.05,562.76,558.32,559.35,558.66,562.14,557.99,570.84
101.25,1.13,795.55,750.32,757.55,778.36,765.88,766.62,756.62,769.95,774.51,780.65
102.75,1.13,751.24,730.2,718.23,715.38,729.33,752.7,734.31,762.03,734.42,758.62
104.25,1.13,390.03,406.28,382.45,362.26,400.15,409.94,394.5,400.63,398.35,430.25
105.75,1.13,156.95,140.94,143.03,152.91,143.26,145.55,144.19,144.77,145.14,147.21
107.25,1.13,118.53,155.38,153.96,140.14,154.46,159.74,152.86,156.78,153.14,156.18
108.75,1.13,60.71,81.69,82.86,67.32,81.76,81.99,82.01,82.2,81.75,83.42
110.25,1.13,45.6,27.79,31.02,35,29.36,28.84,30.19,32.66,31.16,30.72
111.75,1.13,383.31,506.52,539.59,379.79,498.64,479.05,437.75,525.2,481.46,481.75
113.25,1.13,42.46,52.02,51.6,46.28,51.2,53.83,53.55,52.25,53.15,53.1
114.75,1.13,92.82,112.05,109.11,95.95,110.94,95.19,84.79,100.53,90.9,82.38
116.25,1.13,658.6,728.54,776.9,703.83,733.06,817.58,841.94,783.26,823.51,874.12
117.75,1.13,663.6,633.33,643.07,657.47,631.1,654.79,669.18,679.43,656.27,656.23
119.25,1.13,326.99,320.29,313.52,317.12,315.57,311.61,311.29,308.06,311.39,315.83
120.75,1.13,254.27,243.38,237.22,236,242.72,235.36,233.68,238.71,237.2,245.01
122.25,1.13,148.98,147.57,143.73,146.53,148.79,144.9,145.72,145.54,146.34,146.62
123.75,1.13,76.91,69.29,69.38,73.95,69,69.63,70.1,70.34,70.23,70.53
125.25,1.13,99.43,105.43,102.76,101.65,104.66,104.61,103.39,102.2,103.35,105.23
126.75,1.13,30.49,27.94,27.89,28.79,27.89,26.98,27.26,28.44,27.63,27.42
128.25,1.13,291.29,306.44,300.91,309.39,306.83,305.28,308.27,303.61,308.08,309.62
129.75,1.13,473.38,454.96,448.9,473.42,459.27,449.92,458.61,467.19,459.16,459.72
131.25,1.13,214.86,209.18,207.52,218.58,209.72,202.69,206.23,216.81,207.6,207.37
132.75,1.13,64.91,65.75,65.4,67.25,66.02,65.04,65.3,65.52,65.6,65.11
134.25,1.13,24.2,23.07,22.57,23.17,22.94,22.8,22.85,23.14,22.83,23.04
135.75,1.13,72.02,79.56,81.64,74.73,78.8,81.1,79.47,79.65,78.75,76.36
137.25,1.13,45.07,45.11,44.65,44.98,45.15,44.8,44.93,44.84,45.44,46.76
138.75,1.13,37.72,35.05,34.9,36.08,35.34,34.76,35.56,35.32,35.1,33.93
140.25,1.13,425.46,434.95,434.43,427.78,432.02,438.36,432.94,433.58,432.69,435.55
141.75,1.13,542.15,551.63,540.15,549.94,556.89,558.66,554.11,559.31,553.66,561.26
143.25,1.13,210.8,209.94,206.75,211.88,208.34,209.46,209.47,209.67,208.97,211.52
144.75,1.13,226.41,221.66,221.78,223.13,221.85,223.02,222.02,220.62,219.08,217.13
146.25,1.13,641.36,635.15,636.41,642.13,632.84,635.01,633.02,633.29,631.47,635.88
147.75,1.13,413.92,419.68,418.28,413.44,419.06,416.96,417.9,415.97,414.53,413.71
149.25,1.13,859.19,886.73,890.13,881.68,879.74,892.64,882.63,866.48,880.8,896.53
150.75,1.13,634.3,696.31,711.23,671.04,699.73,710.13,712.16,696,707.43,706.48
152.25,1.13,554.67,608.51,620.28,587.83,619,627.47,622.49,607.12,623.1,625.86
153.75,1.13,430.83,442.29,443.23,436.32,441.53,443.47,444.07,445.3,443.33,442.48
155.25,1.13,789.6,778.29,773.19,786.71,775.97,782.08,778.52,794.55,775.03,773.95
156.75,1.13,413.07,412.86,413.77,420.29,411.55,410.09,410.76,411.37,410.71,411
158.25,1.13,468.41,468.38,471.89,484.95,472.6,478.14,471.45,486.78,473.06,460.43
159.75,1.13,727.28,902,887.91,784.93,882.4,885.69,864.17,872.88,878.04,909.11
161.25,1.13,913.58,920.69,917.81,970.23,913.8,906.56,935.88,893.65,933.81,966.91
162.75,1.13,509.22,653.86,655.93,589.78,655.45,636.92,655.92,652.31,674.2,719.38
164.25,1.13,474.31,497.56,502.09,495.54,504.92,502.5,509.58,521.14,517.16,535.5
165.75,1.13,388.12,392.39,399.19,402.17,399.5,408.59,398.65,422.85,404.94,408.98
167.25,1.13,380.14,376.51,381.68,397.77,385.95,386.37,383.23,391.95,396.06,395.42
168.75,1.13,680.7,687.52,687.61,711.12,692.18,673.45,691.96,720.79,699.5,692.31
170.25,1.13,626.22,720.49,719.99,667.47,710.87,731.24,729.73,627.61,713.47,719.52
171.75,1.13,418.3,416.53,419.42,412.88,413.8,415.16,423.2,456.2,416.03,424.07
173.25,1.13,205.18,184.35,185.32,195.4,185.95,191.23,185.8,192.76,188.44,186.57
174.75,1.13,197.02,194.12,195.94,199.6,200.46,194.18,197.46,199.32,201.55,201.54
176.25,1.13,187.37,210.02,210.02,202.76,214.15,212.35,209.75,205.32,216.87,221.01
3.75,1.91,31.59,29.89,31.08,28.86,28.09,29.97,30,30.7,29.15,26.22
5.25,1.91,13.62,22.8,20.75,22.61,18.09,17.85,18.98,19.3,20.78,15.66
6.75,1.91,6.87,7.89,6.17,7.74,6.4,6.44,6.98,6.71,8.22,4.85
8.25,1.91,5.32,7.25,7.8,7.61,9.78,11.88,15.16,14.05,15.12,9.92
9.75,1.91,45.1,24.93,23.32,22.12,19.01,16.44,13.88,16.56,15.79,12.18
11.25,1.91,16.29,7.72,6.67,5.92,5.14,4.67,4.02,4.78,4.96,4.03
12.75,1.91,0.9,6.01,5.25,5.47,7.21,7.93,6.37,9.49,6.69,8.57
14.25,1.91,131.99,66.55,59.13,105.82,67.99,70.74,22.21,41.52,20.04,93.4
15.75,1.91,42.51,140.97,157.33,112.63,155.64,26,29.42,52.26,26.01,126.49
17.25,1.91,0.23,2.05,2.55,1.7,2.01,4.68,11.65,4.93,22.82,1.12
18.75,1.91,218.36,102.29,162.91,84.72,78.5,161.86,103.17,245.27,130.16,65.36
20.25,1.91,382.71,550.85,443.46,396.75,358.46,665.7,276.12,543.8,327.14,757.98
21.75,1.91,247.73,303.03,239.82,340.64,260.07,289,161.36,253.21,163.66,415.23
23.25,1.91,159.24,233.72,214.34,226.19,212.31,145.88,127.17,210.03,131.51,357.49
24.75,1.91,139.75,225.71,214.13,227.76,265.77,206.27,325.95,324.57,184.34,392.25
26.25,1.91,100.81,95.52,173.67,99.18,128.62,189.66,326.45,411.57,213.55,535.22
27.75,1.91,691.62,945.14,1013.4,1122.9,1129.3,976.22,1234,785.74,719.26,97.85
29.25,1.91,748.53,1356.9,1725.9,1682.8,1438.6,2030.2,1016,1001.6,3296.7,1100.2
30.75,1.91,280.21,265.5,349.08,230.01,160.73,372.76,207.75,354.87,228.29,544.88
32.25,1.91,141.23,55.63,72.75,48.95,45.43,49.35,53.6,166.08,43.96,146.43
33.75,1.91,326.56,233.11,251.29,212.88,244.67,244.01,245.81,439.53,253.12,689.03
35.25,1.91,226.67,282.43,255.85,263.32,268.31,256.08,269.21,302.51,268.64,202.66
36.75,1.91,553.2,548.54,361.8,458.53,453.07,364.08,441.84,324.37,423.74,267.02
38.25,1.91,964.38,959.94,713.48,1045.8,995.02,749.6,777.3,402.37,791.13,444.41
39.75,1.91,197.52,284.46,244.91,261.86,259.58,223.92,218.77,147.44,256.35,200.25
41.25,1.91,51.75,49.67,58.48,43.68,42.73,56.51,40.65,76.2,36.25,100.47
42.75,1.91,135.93,143.42,220.89,173.16,166.38,195.83,171.38,227.63,235.07,266.31
44.25,1.91,596.06,752.1,807.68,839.74,864.76,834.04,925.58,682.61,1028.3,790.53
45.75,1.91,420.31,412.74,293.5,376.75,433.54,328.99,363.54,480.08,298.06,324.22
47.25,1.91,295.55,256.87,188.07,199.59,219.43,241.52,258.03,158.48,232.71,233.43
48.75,1.91,261.62,216.51,244.39,229.4,226.45,168.27,261.18,171.21,246.36,176.48
50.25,1.91,144.28,187.73,186.63,166.31,187.15,172.8,159.35,164.88,170.36,133.36
51.75,1.91,147.77,157.38,187.74,201.56,186.57,168.93,157.11,157,189.71,132.25
53.25,1.91,181.99,152.4,201.92,246.64,188.91,160.17,146.01,186.29,198.47,119.84
54.75,1.91,231.25,335.58,349.37,313,311.81,309.2,275.04,341.65,322.97,281.55
56.25,1.91,240.62,378.36,372.08,300.92,366.07,393.5,373.08,427.65,382.41,392.19
57.75,1.91,322.82,199.69,204.16,247.35,215.75,234.57,231.58,221.49,233.81,242.8
59.25,1.91,817.03,332.41,278.62,428.15,312.21,283.44,296.19,309.8,292.91,362.05
60.75,1.91,214.98,253.4,225.49,205.62,225.96,235.64,212.72,235.11,217.92,249.1
62.25,1.91,6.62,7.49,9.81,7.43,8.66,9.48,10.19,5.95,8.91,6.68
63.75,1.91,302.63,131.35,135.75,151.46,134.65,150.01,131.23,126.99,134.65,126.24
65.25,1.91,99.65,51.72,49,76.91,49.25,47.72,53,52.56,48.69,45.22
66.75,1.91,113.91,112.71,149.81,132.98,132.65,121.63,120.88,104.99,142.28,95.72
68.25,1.91,54.37,366.68,491.54,237.74,377.96,483.02,333.79,466.39,404.1,354.71
69.75,1.91,478.56,491.89,522.65,433.96,470.62,571.98,421.99,665.23,483.56,554.8
71.25,1.91,426.12,234.04,252.73,295.59,236.29,274.69,215.04,361.98,251.62,274.89
72.75,1.91,131.39,76.23,81.8,100.07,79.2,81.2,74.8,108.84,84.19,87
74.25,1.91,94.42,66.37,68.05,72.98,66.8,65.72,68.42,72.16,68.5,72.68
75.75,1.91,133.38,123.37,117.88,101.46,119.96,118.38,122.39,115.74,118.06,123.39
77.25,1.91,267.3,269.81,251.99,228.77,256.43,256,260.4,244.22,252.33,266.46
78.75,1.91,280.65,344.94,332.54,268.29,332.2,333.53,343.08,312.32,333.75,324.39
80.25,1.91,377.69,497.27,494.71,415.15,492.95,480.42,504.22,450.19,493.68,468.67
81.75,1.91,390.05,540.35,541.47,460.82,542.71,520.98,541.17,493.29,540.3,510.06
83.25,1.91,352.31,448.56,442.37,404.93,451.9,428.17,450.86,402.97,445.78,419.69
84.75,1.91,335.35,337.61,330.5,336.07,338.97,332,344.4,326.63,339.55,325.39
86.25,1.91,345.19,344.25,345.23,344.72,344.12,351.08,345.03,353.16,346.36,354.47
87.75,1.91,343.16,352.48,357.09,325.37,350.57,371.94,355.46,372.94,355.12,368.3
89.25,1.91,281.78,290.63,292.68,277.85,292.36,311.21,297.8,287.19,293.24,312.65
90.75,1.91,144.62,142.43,140.78,147.3,143.46,139.93,144.19,142.15,142.99,143.7
92.25,1.91,211.29,215.07,212.82,219.26,215.48,219.68,217.76,206.62,210.79,218.56
93.75,1.91,241.53,251.16,246.9,254.07,247.68,248.6,249.1,239.96,244.64,240.67
95.25,1.91,349.67,363.42,359.09,383.82,365.04,362.13,367.44,348.67,361.7,356.14
96.75,1.91,247.76,234.71,233.55,244.32,239.5,238.49,240.8,226.08,236.15,232.81
98.25,1.91,319.63,315.4,311.87,317.05,317.76,318.6,315.81,312.63,314.75,319.01
99.75,1.91,327.59,321.06,315.38,313.92,318.49,318.43,318.6,313.38,315.39,325.13
101.25,1.91,300.87,281.3,287.66,287.04,282.48,289.6,285.54,284.24,285.41,284.15
102.75,1.91,227.45,235.38,237.92,222.14,234.44,245.25,238,244.55,237.79,243.28
104.25,1.91,132.15,132.25,139.84,133.95,134.26,136.87,134.22,141.33,137.6,141.55
105.75,1.91,95.98,78.5,92.22,108.69,82.88,85,89.04,91.76,87.44,79.72
107.25,1.91,112.77,170.86,162.97,149.86,167.67,177.06,175.56,167.09,165.32,162.3
108.75,1.91,54.84,80.67,71.28,60.59,78.68,75.41,77.28,69.39,75.67,79.52
110.25,1.91,55.66,29.91,33.42,41.83,32.46,29.71,31.54,33.29,33.87,32.28
111.75,1.91,604.84,688.85,759.61,636.8,703.17,654.52,654.87,725.44,726.08,720.84
113.25,1.91,17.59,10.78,11.36,14,10.6,14.22,18.23,13.37,16.04,18.77
114.75,1.91,17.93,14.28,11.72,12.56,12.95,9.26,7.69,12.3,8.94,7.91
116.25,1.91,182.48,278.38,304.46,241.96,284.32,307.2,294.36,272.92,295.29,308.35
117.75,1.91,134.17,161.5,177.71,167.62,165.89,177.91,181.79,178.62,175.03,169.61
119.25,1.91,79.06,92.95,96.29,90.01,93.49,95.91,95.12,92.87,93.42,91.52
120.75,1.91,77.09,79.23,79.61,80.49,79.74,78.89,78.46,79.95,78.26,77.67
122.25,1.91,63.65,60.53,59.29,63.6,60.69,60.38,60.31,61.82,60.67,60
123.75,1.91,97.3,85.85,84.09,93.35,84.64,86.51,86.88,86.01,87.19,90.34
125.25,1.91,148.89,156.95,150.23,150.09,155.12,156.87,153.53,148.91,152.96,160.09
126.75,1.91,25.72,23.96,23.92,23.8,23.72,23.23,22.94,24.65,23.5,23.42
128.25,1.91,62.15,58.94,58.31,59.39,59.15,56.72,59.09,58.2,59.92,60.25
129.75,1.91,95.52,87.69,87,89.71,88.66,85.11,88.69,86.66,89.08,89.71
131.25,1.91,55.86,51.21,50.02,51.89,51.05,49.47,50.47,49.99,50.45,51.37
132.75,1.91,30.4,27.99,26.95,29.2,27.68,27.79,27.7,27.6,27.47,27.9
134.25,1.91,37.99,36.66,36,36.16,36.07,36.48,36.35,36.99,35.97,36.08
135.75,1.91,128.82,147.78,154.82,136.23,145.43,150.69,147.29,148.05,145.95,140.61
137.25,1.91,66.83,69.89,69,69.01,70.16,68.85,70.01,69.54,70.48,73.01
138.75,1.91,29.29,25.18,24.7,27.23,25.47,24.63,25.69,25.36,25.5,25.37
140.25,1.91,171.96,160.72,164.57,162.38,159.46,159.43,158.84,160.22,160.48,158.36
141.75,1.91,251.19,242.55,242.74,239.12,244.36,242.95,240.19,244.39,243.26,242.29
143.25,1.91,119.86,114.67,112.82,113.25,113.42,113.01,112.82,111.82,113.2,114.31
144.75,1.91,121.59,117.81,117.34,117.13,117.88,118.46,117.58,116.61,116.21,116.11
146.25,1.91,336.23,328.88,333.78,342.59,330.91,332.4,331.99,335.87,334.35,337.82
147.75,1.91,215.15,211.98,213.07,209.66,213.83,211.27,212.96,214.25,211.04,208.15
149.25,1.91,371.58,369.08,366.72,376.27,363.63,363.37,358.03,361.96,361.43,364.51
150.75,1.91,359.79,381.13,385.18,376.62,381.76,382.02,380.17,379.01,381.14,379.7
152.25,1.91,384.47,403.04,407.32,404.5,410.7,409.07,406.64,400.35,407.46,410.27
153.75,1.91,271.45,274.63,275.98,275.67,274.44,273.49,274.93,276.8,273.03,270.03
155.25,1.91,446.99,436.57,433.99,440.69,437.44,440.28,436.85,442.87,433.67,430
156.75,1.91,395.86,398.53,401.76,400.48,397.76,393.94,401.58,378.09,401.26,400.71
